,,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF FACILITY,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,227,REGION 4-A,Batangas,Ibaan,J.Pastor St. Poblacion Ii Ibaan Batangas,"QUEEN MARY HOSPITAL, INC.",Private,N/A,General,Level 1,17,9989712740,queenmaryhosp@yahoo.com.ph,1/1/2025,12/31/2025
,228,REGION 4-A,Batangas,Lemery,"R. Diokno St., Lemery, Batangas",LEMERY DOCTORS MEDICAL CENTER,Private,N/A,General,Level 2,27,0434111531 / 09267068643,lemerydoctors@yahoo.com,1/1/2025,12/31/2025
,229,REGION 4-A,Batangas,Lemery,"Palanas, Lemery, Batangas",METRO LEMERY MEDICAL CENTER,Private,N/A,General,Level 2,50,(043) 409-0480,customerservice@mlmc.com.ph,1/1/2025,12/31/2025
,230,REGION 4-A,Batangas,Lemery,"V. Ilustre Ave., Lemery, Batangas","OUR LADY OF CAYSASAY MEDICAL CENTER, INC.",Private,N/A,General,Level 2,60,043-4091888-92/ 09176359099,olcmc_88@yahoo.com.ph,1/1/2025,12/31/2025
,231,REGION 4-A,Batangas,Lipa City,"706 Sinagtala St., Brgy. 7, Lipa City, Batangas",DIVINE LOVE MEDICAL CENTER,Private,N/A,General,Level 1,35,043-7272519,dlghhumanresource1@gmail.com,1/1/2025,12/31/2025
,232,REGION 4-A,Batangas,Lipa City,"J. P. Laurel, Ayala Highway, Balintawak, Lipa City, Batangas",LIPA MEDIX MEDICAL CENTER,Private,N/A,General,Level 2,95,043-7563008/ 0917-5043738,corporate.secretariat@lipamedix.com,1/1/2025,12/31/2025
,233,REGION 4-A,Batangas,Lipa City,"J.P. Laurel Highway, Mataas Na Lupa, Lipa City","MARY MEDIATRIX MEDICAL CENTER, INC.",Private,N/A,,Level 3,120, (043) 773-6800 ,mmmcadm@mmmc.ph,1/1/2025,12/31/2025
,234,REGION 4-A,Batangas,Lipa City,"J.P. Laurel Highway, Brgy. Marawoy, Lipa City, Batangas",METRO LIPA MEDICAL CENTER,Private,N/A,General,Level 2,48,043-7560549/ 09338544663/ 09959657338,metrolipamedicalcenter@yahoo.com,1/1/2025,12/31/2025
,235,REGION 4-A,Batangas,Lipa City,"F. Manalo St., Lipa City, Batangas",N.L. VILLA MEMORIAL MEDICAL CENTER,Private,N/A,General,Level 2,70,043-7564871-72/ 09989372388,hospital1969@yahoo.com,1/1/2025,12/31/2025
,236,REGION 4-A,Batangas,Lipa City,"#2 C.M. Recto Avenue, Lipa City, Batangas","SAN ANTONIO MEDICAL CENTER OF LIPA, INC.",Private,N/A,General,Level 2,17,043-7562522/ 09171578624,samclihrs@gmail.com,1/1/2025,12/31/2025
,237,REGION 4-A,Batangas,Lipa City,"Pres. J.P. Laurel, Bugtong na Pulo, Lipa City, Batangas",THE PARAMOUNT MEDICAL CENTER,Private,N/A,General,Level 2,60,09361249474/ 09673687771,tpmclipa.official@gmail.com,1/1/2025,12/31/2025
,238,REGION 4-A,Batangas,Mabini,"Pulong Niog, Poblacion, Mabini, Batangas",UNITED DOCTOR OF ST. CAMILLUS DE LELLIS MABINI GENERAL HOSPITAL,Private,N/A,General,Level 1,17,09189218740/ 09166987285,st.camillus_fu23@yahoo.com,1/1/2025,12/31/2025
,239,REGION 4-A,Batangas,Nasugbu,"J.P. Laurel, Barangay Ii, Poblacion, Nasugbu, Batangas",JABEZ MEDICAL CENTER,Private,N/A,General,Level 1,25,043-4160446/ 09563563612/ 09175185599,jabezmedicalcenter@gmail.com,1/1/2025,12/31/2025
,240,REGION 4-A,Batangas,Rosario,"126 Gualberto Brgy. A, Rosario, Batangas","CHRIST THE SAVIOUR MEDICAL CENTER, INC.",Private,N/A,General,Level 1,28,7401412/09994852627/ 09952207200,csghi@yahoo.com,1/1/2025,12/31/2025
,241,REGION 4-A,Batangas,Rosario,"J. Magtibay St., Rosario, Batangas",METRO ROSARIO MEDICAL SPECIALISTS CENTER INC.,Private,N/A,General,Level 1,25,043-4037338/ 09197659421,palma.malaluan@yahoo.com,1/1/2025,12/31/2025
,242,REGION 4-A,Batangas,Rosario,"Masaya, Rosario, Batangas","ST. GERARD GENERAL HOSPITAL OF ROSARIO BATANGAS, INC.",Private,N/A,General,Level 1,30,9206363344,jeraldienblimbo@yahoo.com,1/1/2025,12/31/2025
,243,REGION 4-A,Batangas,Rosario,"#130 V. Escano St., Rosario, Batangas","STO. ROSARIO HOSPITAL, INC.",Private,N/A,General,Level 1,24,043-3213988/ 09328436537,sntrosario@yahoo.com,1/1/2025,12/31/2025
,244,REGION 4-A,Batangas,Rosario,"B-87 Gualberto Avenue, Poblacion, Rosario, Batangas",UNTALAN GENERAL HOSPITAL,Private,N/A,General,Level 1,12,(043) 321-1563/ 09175842643,untalangen_hospital@yahoo.com,1/1/2025,12/31/2025
,245,REGION 4-A,Batangas,San Jose,"Banaybanay 2Nd, San Jose, Batangas",METRO SAN JOSE MEDICAL CENTER,Private,N/A,General,Level 2,50,(043) 726-0207/0960-472-0582,msjmc2012@yahoo.com,1/1/2025,12/31/2025
,246,REGION 4-A,Batangas,San Juan,"Sico 2.O, San Juan, Batangas",DIVINE CARE HOSPITAL,Private,N/A,General,Level 1,12,043-4200501/ 09304020098,divinecarehospital@yahoo.com,1/1/2025,12/31/2025
,247,REGION 4-A,Batangas,San Juan City,"Pulo, Calit-Calit, San Juan, Batangas","SAN JUAN DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 1,28,043-7838879/ 09666479072,sanjuandoctors@gmail.com,1/1/2025,12/31/2025
,248,REGION 4-A,Batangas,San Pascual,"Aquino Avenue, Poblacion, San Pascual, Batangas",SAINT PASCAL DE BAYLON HOSPITAL CORPORATION,Private,N/A,General,Level 1,22,4250062/ 09308126080,spdbh@yahoo.com,1/1/2025,12/31/2025
,249,REGION 4-A,Batangas,San Pascual,"National Highway, Brgy. San Antonio, San Pascual, Batangas",SAN ANTONIO LIFE CARE HOSPITAL,Private,N/A,General,Level 2,35,0917-1542839,sanantoniolifecarecorporation@yahoo.com,1/1/2025,12/31/2025
,250,REGION 4-A,Batangas,Sto. Tomas,"A. Mabini St., Brgy. 2, Poblacion, Sto. Tomas, Batangas",SAINT VINCENT DE PAUL HOSPITAL,Private,N/A,General,Level 1,15,043-778-6309; 09770828323,april1829sumague@gmail.com,1/1/2025,12/31/2025
,251,REGION 4-A,Batangas,Sto. Tomas,"1181 Pres. J.P. Laurel Highway, San Roque, Sto. Tomas, Batangas",SANTO TOMAS GENERAL HOSPITAL,Private,N/A,General,Level 1,15,09178002056/ 043-7295060,stgh91@yahoo.com,1/1/2025,12/31/2025
,252,REGION 4-A,Batangas,Sto. Tomas,"Maharlika Highway, Poblacion 2, Sto. Tomas, Batangas","ST. FRANCES CABRINI MEDICAL CENTER, INCORPORATED",Private,N/A,General,Level 2,100,(043) 778-4811,cabrini.medicalcenter@gmail.com,1/1/2025,12/31/2025
,253,REGION 4-A,Batangas,Taal,"Diversion Road, Carsuche, Taal, Batangas",TAAL POLYMEDIC HOSPITAL AND MEDICAL CENTER,Private,N/A,General,Level 2,17,043 7414344,taalpolymedcenter@gmail.com,1/1/2025,12/31/2025
,254,REGION 4-A,Batangas,Talisay City,"West Nature, Nuvali North, Brgy. Sto. Domingo, Sta. Rosa City, Laguna","GLOBAL CARE MEDICAL CENTER OF TALISAY, INC.",Private,N/A,General,Level 2,40,043-778-4888,qmstalisay@gmail.com,1/1/2025,12/31/2025
,255,REGION 4-A,Batangas,Talisay City,"Tumaway Talisay, Batangas",ST. ANDREW HOSPITAL,Private,N/A,General,Level 1,12,043-7730196 /0998510 3905,standrewhospital1982@gmail.com,1/1/2025,12/31/2025
,256,REGION 4-A,Batangas,Tanauan City,"50 Sixto Castillo Street, Barangay V, Tanauan City, Batangas",GONZALES MEDICAL AND CHILDREN'S HOSPITAL INC.,Private,N/A,General,Level 1,38,9985365283,gonzaleshospital@yahoo.com.ph,1/1/2025,12/31/2025
,257,REGION 4-A,Batangas,Tanauan City,"Collantes St., Poblacion, Brgy. 7, Tanauan City, Batangas",H.M. CORACHEA GENERAL HOSPITAL,Private,N/A,General,Level 1,24,9159815423,hm_corachea@yahoo.com,1/1/2025,12/31/2025
,258,REGION 4-A,Batangas,Tanauan City,"No. 1 Pres. Laurel Highway, Tanauan City, Batangas",HEALTHWAY DANIEL MERCADO MEDICAL CENTER,Private,N/A,General,Level 2,127,(043)7781810,gsd.tan@qualimed.com.ph,1/1/2025,12/31/2025
,259,REGION 4-A,Batangas,Tanauan City,"A. Mabini Avenue, Tanauan City, Batangas",TANAUAN MEDICAL CENTER (FORMERLY C.P. REYES HOSPITAL),Private,N/A,General,Level 2,70,(043) 784-5401 loc. 657,tanauanmedicalcenter.licensing@gmail.com,1/1/2025,12/31/2025
,260,REGION 4-A,Cavite,Alfonso,"Burgos St. Brgy. 1, Alfonzo, Cavite",DLS-DR. RODOLFO POBLETE MEMORIAL HOSPITAL,Private,N/A,General,Level 1,12,046-4150190/ 09611963254,pobletehospital@yahoo.com,1/1/2025,12/31/2025
,261,REGION 4-A,Cavite,Bacoor City,"Molino Boulevard, Bayanan, Bacoor, Cavite",BACOOR DOCTORS MEDICAL CENTER,Private,N/A,General,Level 1,12,(046) 416-6275,bacoordoctors2010@yahoo.com,1/1/2025,12/31/2025
,262,REGION 4-A,Cavite,Bacoor City,"Molino Road, Brgy. Molino Iii, Bacoor City, Cavite","CAVITE EAST ASIA MEDICAL CENTER, INC.",Private,N/A,General,Level 2,50,046-4310000 loc 109/02/ 09178366901,samc.medicaldirector@gmailcom,1/1/2025,12/31/2025
,263,REGION 4-A,Cavite,Bacoor City,"National Road, Molino Iv, Bacoor City, Cavite",METRO SOUTH MEDICAL CENTER,Private,N/A,General,Level 2,30,046-4771743/ 09178602104,metrosouthmedicalcenter@yahoo.con.ph,1/1/2025,12/31/2025
,264,REGION 4-A,Cavite,Bacoor City,"National Road, Molino Ii, Bacoor, Cavite",MOLINO DOCTORS HOSPITAL,Private,N/A,General,Level 1,15,4771661/ 09175028386,molinodoctors@yahoo.com,1/1/2025,12/31/2025
,265,REGION 4-A,Cavite,Bacoor City,"115 Daanghari Road, Brgy. Molino 4 Bacoor City, Cavite","SOUTH CITY HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,046 4198240,schmc.official@gmail.com,1/1/2025,12/31/2025
,266,REGION 4-A,Cavite,Bacoor City,"Aguinaldo Highway, Talaba, Bacoor City, Cavite","ST. DOMINIC MEDICAL CENTER, INC.",Private,N/A,General,Level 2,65,(046) 417-2525 / 09985994201,stdominicmedicalcenter@sdmc.com.ph,1/1/2025,12/31/2025
,267,REGION 4-A,Cavite,Bacoor City,"220 Molino Road, Molino Ii, Bacoor City, Cavite","YR. ST. MICHAEL MEDICAL HOSPITAL, INC.",Private,N/A,General,Level 1,28,9552083657,smmh_1997@yahoo.com,1/1/2025,12/31/2025
,268,REGION 4-A,Cavite,Carmona,"Macaria Business Center, Governors Drive Purificacion St., Brgy. Mabuhay, Carmona, Cavite","CARMONA HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,49,046-4300295/ 09088142648,exceutiveoffice@carmonahospitalmedicalcenter.com,1/1/2025,12/31/2025
,269,REGION 4-A,Cavite,Cavite City,"910 Crescini St., Caridad, Brgy., 47B Pagkakaisa, Cavite City, Cavite",A. DELA CRUZ MATERNITY HOSPITAL,Private,N/A,General,Level 1,11,046-4313185/ 09954598640,adelacruzmaternityhospital@gmail.com,1/1/2025,12/31/2025
,270,REGION 4-A,Cavite,Cavite City,"375 P. Burgos Ave., Caridad Cavite City",BAUTISTA HOSPITAL,Private,N/A,General,Level 1,36,0998-359-9295 / (046 - 431-0330)/ 09064551728,bautistahospital@yahoo.com.ph,1/1/2025,12/31/2025
,271,REGION 4-A,Cavite,Cavite City,"Manila-Cavite Road, Dalahican, Cavite City","CAVITE MEDICAL CENTER, INC.",Private,N/A,General,Level 1,25,431-9988 loc. 107,cavitemedical.omd@gmail.com,1/1/2025,12/31/2025
,272,REGION 4-A,Cavite,Cavite City,"Burol Ii, Bagong Bayan, Dasmarinas City, Cavite","ST. PAUL HOSPITAL CAVITE, INC.",Private,N/A,General,Level 1,20,046-4818270-73/ 09369396090,sphcavite.2007@gmail.com,1/1/2025,12/31/2025
,273,REGION 4-A,Cavite,Dasmariñas City,"Old Pala-Pala Road, Sampaloc I, Dasmariñas City, Cavite",ASIA MEDIC FAMILY HOSPITAL AND MEDICAL CENTER,Private,N/A,General,Level 1,77,046-4542749,dpo.amfhmc@yahoo.com,1/1/2025,12/31/2025
,274,REGION 4-A,Cavite,Dasmariñas City,"Salawag Crossing, Barangay Salawag, City Of Dasmariñas, Cavite","DASMARIÑAS CITY MEDICAL CENTER, INC.",Private,N/A,General,Level 2,60,(046) 483-9000 LOCAL 9031/ 09175113539,dasmarinascitymedicalcenterinc@gmail.com,1/1/2025,12/31/2025
,275,REGION 4-A,Cavite,Dasmariñas City,"Gov. Dominador I. Mangubat Avenue, Zone 4, City Of Dasmariñas, Cavite",DE LA SALLE UNIVERSITY MEDICAL CENTER,Private,N/A,General,Level 3,250,63464818000,dlsumc.marketing@dlshsi.edu.ph,1/1/2025,12/31/2025
,276,REGION 4-A,Cavite,Dasmariñas City,"Brgy. Salitran 2, Dasmarinas City, Cavite",EMILIO AGUINALDO COLLEGE MEDICAL CENTER CAVITE,Private,N/A,General,Level 2,154,046-4163010/ 09988453685/ 09178634010,quality_assurance@eacmed.org.ph,1/1/2025,12/31/2025
,277,REGION 4-A,Cavite,Dasmariñas City,"#24 Camerino Avenue, Zone 4, City Of Dasmariñas, Cavite",GMF HOSPITAL,Private,N/A,General,Level 1,12,9423807860,gmfhospital@gmail.com,1/1/2025,12/31/2025
,278,REGION 4-A,Cavite,Dasmariñas City,"Aguinaldo Highway, Malinta, Dasmariñas, Cavite",MEDCOR DASMARIÑAS HOSPITAL AND MEDICAL CENTER,Private,N/A,General,Level 2,27,9669522491,medcordasmariñashospital@gmail.com,7/11/2025,12/31/2025
,279,REGION 4-A,Cavite,General Trias City,"Governor'S Drive, Manggahan, General Trias, Cavite",CITY OF GENERAL TRIAS DOCTORS MEDICAL CENTER INC.,Private,N/A,General,Level 2,100,046-4162222,gentridoctors@yahoo.com,1/1/2025,12/31/2025
,280,REGION 4-A,Cavite,General Trias City,"Antero Soriano Highway, General Trias, Tejero, Cavite",DIVINE GRACE MEDICAL CENTER,Private,N/A,General,Level 2,75,9778208457,qad@divinegracemedicalcenter.com,1/1/2025,12/31/2025
,281,REGION 4-A,Cavite,General Trias City,"General Trias Drive, Tejero, General Trias, Cavite",GENERAL TRIAS MATERNITY AND PEDIATRIC HOSPITAL,Private,N/A,General,Level 1,50,046-4370124/ 046-4378111/ 09175498212,gtmph_07@yahoo.com,1/1/2025,12/31/2025
,282,REGION 4-A,Cavite,General Trias City,"Santusan Street, Brgy. Manggahan, General Trias, Cavite","GENTRI MEDICAL CENTER AND HOSPITAL, INC.",Private,N/A,General,Level 2,50,9171043337,gentri.corporate2018@gmail.com,1/1/2025,12/31/2025
,283,REGION 4-A,Cavite,Imus City,"Aguinaldo Highway, Anabu I, Imus City, Cavite","CITY OF IMUS DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 2,100,046-4355500/ 09177076714,cityofimusdoctorshospitalinc@gmail.com,1/1/2025,12/31/2025
,284,REGION 4-A,Cavite,Imus City,"Justinville 2 Palico, I Imus Cavite",IMUS FAMILY HOSPITAL,Private,N/A,General,Level 1,15,464716403,imusfamilyhospital.rec@gmail.com,1/1/2025,12/31/2025
,285,REGION 4-A,Cavite,Imus City,"Diversion Road, Palico Iv, Imus, Cavite",MEDICAL CENTER IMUS,Private,N/A,General,Level 2,90,9175984781,mci_presidents_office@yahoo.com,1/1/2025,12/31/2025
,286,REGION 4-A,Cavite,Imus City,"Tamsui Avenue, Bayan Luma, Imus City, Cavite",OUR LADY OF THE PILLAR MEDICAL CENTER,Private,N/A,General,Level 2,100,046-4723773/4355900/ 09178292843/ 09178013773,ealcoran@olmpc.net,1/1/2025,12/31/2025
,287,REGION 4-A,Cavite,Imus City,"Mi Paredes Bldg., Aguinaldo Highway, Bayan Luma 4, Imus, Cavite",PAREDES MEDICAL CENTER AND HOSPITAL,Private,N/A,General,Level 1,17,9279172681,pmc_0305@yahoo.com,1/1/2025,12/31/2025
,288,REGION 4-A,Cavite,Imus City,"D.C. Ilano Blvd., Anabu 2C, City Of Imus, Cavite","SOUTH IMUS SPECIALIST HOSPITAL, INC.",Private,N/A,General,Level 2,100,9175541680,southimusspecialisthospital@gmail.com,1/1/2025,12/31/2025
,289,REGION 4-A,Cavite,Kawit,"175 Covelandia Road, Brgy. Balsahan-Bisita, Binakayan, Kawit, Cavite","BINAKAYAN HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,50,09565232002 / (046) 5160500 local 507,binakayanhmc@gmail.com,1/1/2025,12/31/2025
,290,REGION 4-A,Cavite,Kawit,"3141-C Kalayaan Ave., Brgy. Magdalo, Kawit, Cavite","SAN PEDRO CALUNGSOD MEDICAL CENTER, INC.",Private,N/A,General,Level 2,65,02-5844355/ 09471063339,spcmc.kawit@gmail.com,1/1/2025,12/31/2025
,291,REGION 4-A,Cavite,Mendez,"Tagaytay-Mendez Road, brgy. Galicia III, Mendez, Cavite","MENDEZ SPECIALISTS MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,9175541680,mendezspecialistsmc@gmail.com,1/1/2025,12/31/2025
,292,REGION 4-A,Cavite,Naic,"Governor'S Drive, Brgy. San Roque, Naic, Cavite",FIRST FILIPINO SAINT HOSPITAL,Private,N/A,General,Level 1,25,09175022366/ 09175029404/ 046-4121411/ 09175029406,firstfilipinosainthospital@gmail.com,1/1/2025,12/31/2025
,293,REGION 4-A,Cavite,Naic,"Daang Makina, Naic, Cavite","NAIC DOCTORS HOSPITAL, INC.,",Private,N/A,General,Level 1,30,046-4121443/ 09167325982,naic_doctors@yahoo.com,1/1/2025,12/31/2025
,294,REGION 4-A,Cavite,Noveleta,"Salcedo Ii, Noveleta, Cavite",ST. MARTIN MATERNITY & PEDIATRIC HOSPITAL,Private,N/A,General,Level 1,40,046-4381112/ 046-4384466,smmph.04@gmail.com,1/1/2025,12/31/2025
,295,REGION 4-A,Cavite,Rosario,"General Trias Drive, Pob., Rosario, Cavite","OUR SAVIOR HOSPITAL, INCORPORATED",Private,N/A,General,Level 1,12,046-4381802/ 09178659265,osh_cavite1968@yahoo.com,1/1/2025,12/31/2025
,296,REGION 4-A,Cavite,Silang,"Aguinaldo Hi-Way, San Vicente Ii, Silang, Cavite","SILANG SPECIALISTS MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,9175541680,silangspecialistsmc@gmail.com,1/1/2025,12/31/2025
,297,REGION 4-A,Cavite,Silang,"Blk 113 Lot 7 & 8 Afp Housing, Bulihan, Silang, Cavite","ST. MAZENOD HOSPITAL, INCORPORATED",Private,N/A,General,Level 1,12,9338781049,stmazenodhospital@yahoo.com,1/1/2025,12/31/2025
,298,REGION 4-A,Cavite,Silang,"J.P. Rizal St., Sabutan, Silang, Cavite",VELAZCO HOSPITAL,Private,N/A,General,Level 1,25,(046) 414-0280,velazcohospital@yahoo.com,1/1/2025,12/31/2025
,299,REGION 4-A,Cavite,Tagaytay,"E. Aguinaldo Highway, Silang Crossing East, Rotonda, Tagaytay City, Cavite","TAGAYTAY MEDICAL CENTER, INC.",Private,N/A,General,Level 2,90,02-5844209/ 4143954/ 09989626586,info@tagaytaymed.com.ph,1/1/2025,12/31/2025
,300,REGION 4-A,Cavite,Tanza,"A. Soriano Highway, Bgy. Sahud Ulan, Tanza, Cavite",JNRAL FAMILY CORPORATION,Private,N/A,General,Level 1,22,046-4896398/ 09052535502,nedy_viray@yahoo.com.ph,1/1/2025,12/31/2025
,301,REGION 4-A,Cavite,Tanza,"A. Soriano Highway, Brgy. Sahud Ulan, Tanza, Cavite",TANZA DOCTORS HOSPITAL INC.,Private,N/A,General,Level 2,102,046 4310245,tanzadoctorshospital@yahoo.com.ph,1/1/2025,12/31/2025
,302,REGION 4-A,Cavite,Tanza,"A. Soriano Highway, Daang Amaya 2, Tanza, Cavite",TANZA FAMILY GENERAL HOSPITAL AND PHARMACY,Private,N/A,General,Level 1,18,(0460 437-7244,tfghcavite@yahoo.com,1/1/2025,12/31/2025
,303,REGION 4-A,Cavite,Tanza,"Daang Amaya Iii, Tanza, Cavite","TANZA SPECIALISTS MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,9175541680,tanzaspecialists@gmail.com,1/1/2025,12/31/2025
,304,REGION 4-A,Cavite,Trece Martires City,"De Ocampo, Trece Martires, Cavite",M.V. SANTIAGO MEDICAL CENTER,Private,N/A,General,Level 1,50,046-4191877/ 09178860805,mvsmc25@gmail.com,1/1/2025,12/31/2025
,305,REGION 4-A,Laguna,Bay,"National Highway, Brgy. Maitim, Bay, Laguna","GLOBAL CARE MEDICAL CENTER OF BAY, INC.",Private,N/A,General,Level 2,80,0917-6257368,rjalmoromd@yahoo.com,1/1/2025,12/31/2025
,306,REGION 4-A,Laguna,Biñan City,"Platero, Binan City, Laguna","BINAN DOCTORS' HOSPITAL, INCORPORATED",Private,N/A,General,Level 2,75,049-5119159,"info@binandoctors.com.ph/ Binandoctors197@gmail,com",1/1/2025,12/31/2025
,307,REGION 4-A,Laguna,Biñan City,"Blk 11 Lot 3, Southwoods Ecocentrum Business Park, Brgy. San Francisco, Biñan City, Laguna","UNIHEALTH-SOUTHWOODS HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,100,(02) 8775-2861/ (02) 8898 9700,admin@unihealthsouthwoodshospital.com,1/1/2025,12/31/2025
,308,REGION 4-A,Laguna,Biñan City,"Brgy. Sto. Niño, Biñan, Laguna",UPH-DR. JOSE G. TAMAYO MEDICAL CENTER,Private,N/A,,Level 3,250,(02) 8779 5310,hospital@phmch.com,1/1/2025,12/31/2025
,309,REGION 4-A,Laguna,Cabuyao City,"Km. 44 National Highway, Purok 5, Brgy. Sala City Of Cabuyao, Laguna","FIRST CABUYAO HOSPITAL AND MEDICAL CENTER, INC.",Private,N/A,General,Level 2,50,6.3921E+11,firstcare@fchmci.com,1/1/2025,12/31/2025
,310,REGION 4-A,Laguna,Cabuyao City,"National Highway, Brgy. Barlic, Cabuyao City, Laguna","GLOBAL MEDICAL CENTER OF LAGUNA, INC.",Private,N/A,General,Level 2,90,0917-8617500/ 09992261483,gmclqms@gmail.com,1/1/2025,12/31/2025
,311,REGION 4-A,Laguna,Cabuyao City,"Rosario Village, Sala, Cabuyao, Laguna","HOLY ROSARY OF CABUYAO HOSPITAL, INC.",Private,N/A,General,Level 1,43,049-5026024/ 09989655718/ 09171576567/ 09255648311,hr_holyrosary@yahoo.com,1/1/2025,12/31/2025
,312,REGION 4-A,Laguna,Calamba City,"National Highway, Halang, Calamba City, Laguna","AMSI DOCTORS' MEDICAL CENTER, INC.",Private,N/A,General,Level 2,40,09951480527/ 09988897219,mmriles@amsidoctors.com.ph,1/1/2025,12/31/2025
,313,REGION 4-A,Laguna,Calamba City,"Km.49, National Highway, Parian, Calamba City, Laguna",CALAMBA DOCTORS' HOSPITAL,Private,N/A,General,Level 2,120,049-5457371/ 09491888540,amsicdh.conference@gmail.com,1/1/2025,12/31/2025
,314,REGION 4-A,Laguna,Calamba City,"Crossing, Brgy. Real, Calamba City, Laguna","CALAMBA MEDICAL CENTER, INC.",Private,N/A,General,Level 2,130,049-5451740/ 09153054509,marsandiego@cmc.ph,1/1/2025,12/31/2025
,315,REGION 4-A,Laguna,Calamba City,"J. Yulo Avenue, Brgy. Canlubang, Calamba City, Laguna","GLOBAL CARE MEDICAL CENTER OF CANLUBANG, INC.",Private,N/A,General,Level 2,91,049-5205626/ 09177080413,gcmcc@globalcarehospitals.com,1/1/2025,12/31/2025
,316,REGION 4-A,Laguna,Calamba City,"National Highway, Halang, Calamba City, Laguna",PAMANA MEDICAL CENTER,Private,N/A,General,Level 1,72,049-5549690/ 09956335272/ 09956335272,pamana_medical_center@yahoo.com,1/1/2025,12/31/2025
,317,REGION 4-A,Laguna,Calamba City,"Parian, Calamba City, Laguna","ST. JOHN THE BAPTIST MEDICAL CENTER, INC.",Private,N/A,General,Level 1,60,049-5457528/ 09322874631/ 09323028388,stjohnmedicalcalamba@gmail.com,1/1/2025,12/31/2025
,318,REGION 4-A,Laguna,Famy,"Famy Infanta Road, Brgy. Tunhac, Famy, Laguna",EASTERN LAGUNA MEDICAL HOSPITAL,Private,N/A,General,Level 1,18,049-5019635 09365254129 09682329769,elmhfamy2016@gmail.com,1/1/2025,12/31/2025
,319,REGION 4-A,Laguna,Los Baños,"#8817 National Highway, Batong Malake, Los Banos, Laguna",HEALTHSERV LOS BANOS MEDICAL CENTER,Private,N/A,General,Level 2,60,049-5364858/ 09267163291/ 09088727864/ 09278895349,info@healthserv.com.ph,1/1/2025,12/31/2025
,320,REGION 4-A,Laguna,Los Baños,"Lopez Ave., Brgy. Batong Mlake, Los Banos, Laguna",LOS BANOS DOCTORS HOSPITAL AND MEDICAL CENTER INCORPORATED,Private,N/A,General,Level 2,80,049-5360100/ 09175796617,lbdhmc@lbdhmc.com.ph,1/1/2025,12/31/2025
,321,REGION 4-A,Laguna,Los Baños,"60 Gen. Luna St., Banaba, San Mateo Rizal",ST. JUDE FAMILY HOSPITAL,Private,N/A,General,Level 1,35,049-5361982 09171256491,stjudefamilyhospital@gmail.com,1/1/2025,12/31/2025
,322,REGION 4-A,Laguna,Pagsanjan,"Brgy. Sampalocan, Pagsanjan, Laguna","PAGSANJAN MEDICAL CLINIC, INC.",Private,N/A,General,Level 1,12,(049) 501-4228/ 09178669407,pagsanjan_med_pmci@yahoo.com,1/1/2025,12/31/2025
,323,REGION 4-A,Laguna,San Pablo City,"C. Colago Avenue, San Pablo City, Laguna","COMMUNITY GENERAL HOSPITAL OF SAN PABLO CITY, INC.",Private,N/A,General,Level 2,99,049-5622053/ 5621314,cghspci.6@gmail.com,1/1/2025,12/31/2025
,324,REGION 4-A,Laguna,San Pablo City,"Maharlika Highway, Brgy. San Rafael, San Pablo City, Laguna",SAN PABLO COLLEGES MEDICAL CENTER,Private,N/A,General,Level 2,135,049-5620726,spcmedicalcenter@gmail.com/ mmmanalo@spcmc.com.ph,1/1/2025,12/31/2025
,325,REGION 4-A,Laguna,San Pablo City,"#55 A. Mabini St., San Pablo City, Laguna","SAN PABLO DOCTORS HOSPITAL, INC.",Private,N/A,General,Level 2,30,049 562-4069 / 09177206659,spdhinc_66@yahoo.com,1/13/2025,12/31/2025
,326,REGION 4-A,Laguna,San Pablo City,"Farconville Subd. Brgy. San Francisco, San Pablo City, Laguna","STS. FRANCIS & PAUL GENERAL HOSPITAL, INC.",Private,N/A,General,Level 1,30,(049) 562-8097/ 09120471277,sfpgh74@yahoo.com,1/1/2025,12/31/2025
,327,REGION 4-A,Laguna,San Pedro City,"Lots 9 & 10, Amante Subd., Brgy. Nueva, San Pedro City, Laguna","DIVINE MERCY HOSPITAL, INC.",Private,N/A,General,Level 1,30,(02) 8808-3392/93/ 09178073448,info@newdivinemercyhospital.com.ph,1/1/2025,12/31/2025
,328,REGION 4-A,Laguna,San Pedro City,"Macaria Ave. Pacita Complex 1, City Of San Pedro, Laguna",EVANGELISTA MEDICAL SPECIALTY HOSPITAL,Private,N/A,General,Level 1,40,88081829/ 09564726097,emsh.compliance@gmail.com,1/1/2025,12/31/2025
