,#,REGION,PROVINCE,CITY/ MUNICIPALITY,"BLDG OR HOUSE NO., STREET, BRGY (as applicable)",NAME OF HOSPITAL,OWNERSHIP,OWNERSHIP CLASS,CLASS,SERVCE CAPABILITY,ABC,CONTACT NOS.,E-MAIL ADDRESS,VALIDITY FROM,VALIDITY UNTIL
,223,REGION 6,Capiz,Roxas City,"Arnaldo Boulevard, Inzo Arnaldo Village",ROXAS MEMORIAL PROVINCIAL HOSPITAL,Government,LGU,General,Level 2,147,"033-6210-823, 036-6210-030",rmphrxcapiz@yahoo.com,1/1/2025,12/31/2025
,224,REGION 6,Guimaras,Jordan,Brgy. San Miguel,DR. CATALINO GALLEGO NAVA PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,75,033-581-2037,dcgnph@gmail.com,1/1/2025,12/31/2025
,225,REGION 6,Iloilo,Alimodian,Brgy. Bancal,ALEOSAN DISTRICT HOSPITAL,Government,LGU,General,Level 1,100,033-331-0602,aleosaniloilo@yahoo.com,1/1/2025,12/31/2025
,226,REGION 6,Iloilo,Balasan,"Sitio Malbog, Brgy. Tingui-An",JESUS M. COLMENARES DISTRICT HOSPITAL,Government,LGU,General,Level 1,73,033-397-0879,jmcolmenares15@gmail.com,1/1/2025,12/31/2025
,227,REGION 6,Iloilo,Barotac Nuevo,Brgy. Tabucan,DON JOSE S. MONFORT MEDICAL CENTER,Government,DOH RETAINED,General,Level 2,150,4/29/11789,djsmonfortmceh@yahoo.com.ph,1/1/2025,12/31/2025
,228,REGION 6,Iloilo,Barotac Viejo,Barangay San Lucas,GOVERNOR NIEL D. TUPAS SR. DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,033-3620300,gndtsdh_5011@yahoo.com,1/1/2025,12/31/2025
,229,REGION 6,Iloilo,Cabatuan,Brgy. Pungtod,RAMON TABIANA MEMORIAL DISTRICT HOSPITAL,Government,LGU,General,Level 1,75,033-522-8549,hospital.cabatuan.iloilo@gmail.com,1/1/2025,12/31/2025
,230,REGION 6,Iloilo,Calinog,Brgy. Dalid,DR. RICARDO S. PROVIDO SR. MEMORIAL DISTRICT HOSPITAL,Government,LGU,General,Level 1,50,033-330-0557,drspsmdhcalinog@yahoo.com.ph,1/1/2025,12/31/2025
,231,REGION 6,Iloilo,Dumangas,Brgy. Ilaya 1St,RAMON D. DUREMDES DISTRICT HOSPITAL,Government,LGU,General,Level 1,50,033-361-2229,ddh.dumangas@gmail.com,1/1/2025,12/31/2025
,232,REGION 6,Iloilo,Guimbal,Garriel Street,REP. PEDRO G. TRONO MEMORIAL HOSPITAL,Government,LGU,General,Level 1,80,033-315-5172,rpgtmh@yahoo.com,1/1/2025,12/31/2025
,233,REGION 6,Iloilo,Iloilo City,"E. Lopez St., Montinola, Jaro, Iloilo City",WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER,Government,UNIVERSITY/SCHOOL,General,Level 3,300,(033) 320 2431,medcenter@wvsu.edu.ph,1/1/2025,12/31/2025
,234,REGION 6,Iloilo,Iloilo City,"Q. Abeto Street, Mandurriao, Iloilo City",WESTERN VISAYAS MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,641,(033) 330-7700,akuwvmc2017@gmail.com,1/1/2025,12/31/2025
,235,REGION 6,Iloilo,Janiuay,Brgy. Jibolo,"FEDERICO ROMAN TIRADOR SR., MEMORIAL DISTRICT HOSPITAL",Government,LGU,General,Level 1,50,033-531-8506,frtsmdh_06@yahoo.com,1/1/2025,12/31/2025
,236,REGION 6,Iloilo,Lambunao,Poblacion Ilawod,DR. RICARDO Y. LADRIDO MEMORIAL HOSPITAL,Government,LGU,General,Level 1,50,033-330-0559,drylmhlambunao@yahoo.com,1/1/2025,12/31/2025
,237,REGION 6,Iloilo,Passi City,Alfelor St,DON VALERIO PALMARES SR. MEMORIAL DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,033-367-1421,dvpsmdh2015@gmail.com,1/1/2025,12/31/2025
,238,REGION 6,Iloilo,Pototan,Brgy. Rumbang,ILOILO PROVINCIAL HOSPITAL,Government,LGU,General,Level 2,175,033-5297496,iph_pototan@ymail.com,1/1/2025,12/31/2025
,239,REGION 6,Iloilo,Santa Barbara,Brgy. Inangayan,WESTERN VISAYAS SANITARIUM AND GENERAL HOSPITAL,Government,DOH RETAINED,General,Level 1,100,033-523-9515,wvsanitarium1927@gmail.com,1/1/2025,12/31/2025
,240,REGION 6,Iloilo,Sara,Brgy. Anoring,SARA DISTRICT HOSPITAL,Government,LGU,General,Level 1,74,033-392-0201,sara_dh@iloilo.gov.ph,1/1/2025,12/31/2025
,241,REGION 7,Bohol,Carmen,"Poblacion Sur, Carmen, Bohol",CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL,Government,LGU,General,Level 1,40,(038) 417-3236; 0907-906-2536,carmenhospital68@yahoo.com,1/1/2025,12/31/2025
,242,REGION 7,Bohol,Catigbian,"Poblacion West, Catigbian, Bohol",CATIGBIAN DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,(038) 416-0918; 0939-808-2436,cadishosp@yahoo.com.ph,1/1/2025,12/31/2025
,243,REGION 7,Bohol,Inabanga,"National Highway, Cagay-an, Inabanga, Bohol",FRANCISCO DAGOHOY MUNICIPAL HOSPITAL,Government,LGU,General,Level 1,25,(038)512-9014/ 09154108528,fdmh85@yahoo.com,1/1/2025,12/31/2025
,244,REGION 7,Bohol,Jagna,"Severo Salas St., Poblacion, Jagna, Bohol",TEODORO B. GALAGAR DISTRICT HOSPITAL,Government,LGU,General,Level 1,75,(038) 531-8107; 0942-804-4934,tbgdh10@yahoo.com; tbgdh2020@gmail.com,1/1/2025,12/31/2025
,245,REGION 7,Bohol,Tagbilaran City,"Miguel Parras St., Tagbilaran City, Bohol",GOVERNOR CELESTINO GALLARES MEMORIAL MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,400,(038) 411-3185,gcgmh_bohol@yahoo.com.ph; gallares.bohol@gmail.com; gcgmhcao@gmail.com,1/1/2025,12/31/2025
,246,REGION 7,Bohol,Talibon,"San Jose, Talibon, Bohol",GARCIA MEMORIAL PROVINCIAL HOSPITAL,Government,LGU,General,Level 2,75,(038) 412-3255; 0928-269-3241,gmph.bohol2012@gmail.com;,1/1/2025,12/31/2025
,247,REGION 7,Bohol,Ubay,"Bood, Ubay, Bohol",DON EMILIO DEL VALLE MEMORIAL HOSPITAL,Government,DOH RETAINED,General,Level 2,200,(038) 518-8301,devmh.ubay@devmh.doh.gov.ph,1/1/2025,12/31/2025
,248,REGION 7,Cebu,Balamban,"F. Pilapil St., Baliwagan, Balamban, Cebu",CEBU PROVINCIAL HOSPITAL - BALAMBAN,Government,LGU,General,Level 2,100,(032) 231-1875,provincialhospital.balamban@gmail.com,1/1/2025,12/31/2025
,249,REGION 7,Cebu,Bantayan,"M.Y. Village, Ticad, Bantayan, Cebu",BANTAYAN DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,"(032)460-9330;
09273656289 / 09178439455",bantayandistricthospital@gmail.com; bantayandistricthospital@yahoo.com,1/1/2025,12/31/2025
,250,REGION 7,Cebu,Bogo City,"Taytayan Hills, Bogo City, Cebu",CEBU PROVINCIAL HOSPITAL (BOGO CITY),Government,LGU,General,Level 2,100,(032) 434-7204; 0917-833-4847,cebuprovincialhospitalbogocity@gmail.com,1/1/2025,12/31/2025
,251,REGION 7,Cebu,Carcar City,"Baracca, Poblacion II, Carcar City, Cebu",CEBU PROVINCIAL HOSPITAL - CARCAR CITY,Government,LGU,General,Level 1,100,(032) 487-8952; 0917-842-5940,cphcarcar@yahoo.com,1/1/2025,12/31/2025
,252,REGION 7,Cebu,Cebu City,"Camp Lapu-Lapu, Apas, Cebu City, Cebu",CAMP LAPU-LAPU STATION HOSPITAL,Government,AFP,General,Level 1,25,(032) 233-9942,centcomhosp@yahoo.com,1/1/2025,12/31/2025
,253,REGION 7,Cebu,Cebu City,"N. Bacalso Ave., Cor. Panganiban St., Pahina Central, Cebu City, Cebu",CEBU CITY MEDICAL CENTER,Government,LGU,General,Level 2,200,(032) 254-0517; 0917-658-7488,cebucitymedicalcenterofficial@yahoo.com,1/1/2025,12/31/2025
,254,REGION 7,Cebu,Cebu City,"Basak, San Nicolas, Cebu City, Cebu",SAINT ANTHONY MOTHER AND CHILD HOSPITAL,Government,DOH RETAINED,General,Level 2,100,(032) 261-9989 loc. 5106,mcc.sec@samch.doh.gov.ph,1/1/2025,12/31/2025
,255,REGION 7,Cebu,Cebu City,"B. Rodriguez St., Sambag II, Cebu City, Cebu",VICENTE SOTTO MEMORIAL MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,1500,(032) 344-7756; 253-9891-99,mcc@vsmmc.doh.gov.ph,1/1/2025,12/31/2025
,256,REGION 7,Cebu,Danao City,"National Road, Poblacion, Danao City, Cebu",CEBU PROVINCIAL HOSPITAL (DANAO CITY),Government,LGU,General,Level 1,100,(032) 262-0816 loc. 109-110; 0922-390-8803,ddhospital1960@yahoo.com,1/1/2025,12/31/2025
,257,REGION 7,Cebu,Lapu-Lapu City,"A. Tumulak St., Gun-ob, Lapu-Lapu City, Cebu",LAPU-LAPU CITY HOSPITAL,Government,LGU,General,Level 1,50,(032) 341-5892; 0932-681-1504,lapulapucityhospital@yahoo.com,1/1/2025,12/31/2025
,258,REGION 7,Cebu,Mandaue City,"Northroad, Jagobiao, Mandaue City, Cebu",EVERSLEY CHILDS SANITARIUM AND GENERAL HOSPITAL,Government,DOH RETAINED,General,Level 2,200,(032) 346-2468,mcc@ecsgh.doh.gov.ph,1/1/2025,12/31/2025
,259,REGION 7,Cebu,Mandaue City,"Don Andres Soriano Avenue, Centro, Mandaue City, Cebu",MANDAUE CITY HOSPITAL,Government,LGU,General,Level 1,25,(032)253-3906/ 09310002693,mcityhospital@yahoo.com; mch@mandauecity.gov.ph;,1/1/2025,12/31/2025
,260,REGION 7,Cebu,San Francisco,"Northern Poblacion, San Francisco, Cebu",RICARDO L. MANINGO MEMORIAL HOSPITAL,Government,LGU,General,Level 1,25,(032)514-3327,ricardo_maningo@yahoo.com,1/1/2025,12/31/2025
,261,REGION 7,Cebu,Talisay City,"San Isidro, Talisay City, Cebu",CEBU SOUTH MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,201,(032) 273-3713; (032) 265-5986,mcc@csmc.doh.gov.ph,1/1/2025,12/31/2025
,262,REGION 7,Cebu,Toledo CIty,"Magsaysay Hills, Poblacion, Toledo City, Cebu",TOLEDO CITY GENERAL HOSPITAL,Government,LGU,General,Level 1,50,(032) 466-1900; 467-9565; 0917-728-9415,tcghofficial.gov@gmail.com,1/1/2025,12/31/2025
,263,REGION 8,Biliran,Naval,"Castin St., Sto. Nino, Naval, Biliran",BILIRAN PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,120,9173085299,bph.lar@gmail.com,1/1/2025,12/31/2025
,264,REGION 8,Eastern Samar,Borongan City,"Real St., Songco, Borongan, Eastern Samar",EASTERN SAMAR PROVINCIAL HOSPITAL,Government,LGU,General,Level 2,100,9661823373,esph_esamar@yahoo.com,1/1/2025,12/31/2025
,265,REGION 8,Eastern Samar,Guiuan,"Brgy. Cantahay, Guiuan, Eastern Samar",FELIPE ABRIGO MEMORIAL HOSPITAL,Government,LGU,General,Level 1,12,9178010452,famh_guiuan@yahoo.com,1/1/2025,12/31/2025
,266,REGION 8,Leyte,Abuyog,"Maharlika Highway, Bunga, Abuyog, Leyte",ABUYOG DISTRICT HOSPITAL,Government,LGU,General,Level 1,30,9778213692,adh.leyte@yahoo.com,1/1/2025,12/31/2025
,267,REGION 8,Leyte,Baybay City,"Diversion Road 1, Brgy. Cogon, Baybay City, Leyte",BAYBAY CITY IMMACULATE CONCEPTION HOSPITAL,Government,LGU,General,Level 1,50,9757707682,wlph6521@gmail.com,1/1/2025,12/31/2025
,268,REGION 8,Leyte,Burauen,"Camansi Dist. I, Burauen, Leyte",BURAUEN DISTRICT HOSPITAL,Government,LGU,General,Level 1,30,9219359656,bdhphilhealthsw@gmail.com / francisangeloalmo@gmail.com,1/1/2025,12/31/2025
,269,REGION 8,Leyte,Carigara,"Brgy. Barugohay Norte, Carigara, Leyte",CARIGARA DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,9163396432,carigaradh@yahoo.com,1/1/2025,12/31/2025
,270,REGION 8,Leyte,Hilongos,"C.V. Alcuino, Central Barangay, Hilongos, Leyte",HILONGOS DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,9954783920,hdhcares@gmail.com,1/1/2025,12/31/2025
,271,REGION 8,Leyte,Ormoc City,"Brgy, Cogon, Ormoc City, Leyte",ORMOC DISTRICT HOSPITAL,Government,LGU,General,Level 1,100,9255038575,ormocdistrict.hospital@yahoo.com,1/1/2025,12/31/2025
,272,REGION 8,Leyte,Palo,"Brgy. Naga-Naga, Palo, Leyte",GOV. BENJAMIN T. ROMUALDEZ GENERAL HOSPITAL & SCHISTOSOMIASIS CENTER,Government,DOH RETAINED,General,Level 1,100,9981538188,gbtrghsc.mcc@gmail.com,1/1/2025,12/31/2025
,273,REGION 8,Leyte,Palo,"Brgy. Candahug, Palo, Leyte",LEYTE PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,50,9177260862,leyteprov.hospital@gmail.com,1/1/2025,12/31/2025
,274,REGION 8,Leyte,Tacloban City,"Barangay 93 Bagacay, Tacloban City, Eastern Visayas",EASTERN VISAYAS MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,629,(053) 888-2735,evrmccao@gmail.com,1/1/2025,12/31/2025
,275,REGION 8,Leyte,Tacloban City,"Brgy. 80, Marasbaras, Tacloban City",TACLOBAN CITY HOSPITAL,Government,LGU,General,Level 1,25,9273794685,tchopd16@yahoo.com,1/1/2025,12/31/2025
,276,REGION 8,Northern Samar,Allen,"Hospital Drive, Kinabranan Zone Ii, Allen, Northern Samar",ALLEN DISTRICT HOSPITAL,Government,LGU,General,Level 1,50,9171667765,adhallen61@gmail.com,1/1/2025,12/31/2025
,277,REGION 8,Northern Samar,Catarman,"Balite St., Brgy. Acacia, Catarman, Northern Samar",NORTHERN SAMAR PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,150,9194709978,nsph_1958@yahoo.com,1/1/2025,12/31/2025
,278,REGION 8,Samar,Basey,"San Miguel St., Brgy. Loyo, Basey, Samar",BASEY DISTRICT HOSPITAL,Government,LGU,General,Level 1,35,9159142014,baseydistricthospital@yahoo.com,1/1/2025,12/31/2025
,279,REGION 8,Samar,Calbayog City,"Burgos St., East Awang, Calbayog, Samar",CALBAYOG DISTRICT HOSPITAL,Government,LGU,General,Level 1,75,9177901587,calbayog_district_hospital@yahoo.com,1/1/2025,12/31/2025
,280,REGION 8,Samar,Catbalogan City,"Brgy. 07, Catbalogan, Samar",SAMAR PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,100,9269806501,samarprovincialhospital@gmail.com.ph,1/1/2025,12/31/2025
,281,REGION 8,Southern Leyte,Anahawan,"Brgy. Poblacion, Anahawan, Southern Leyte",ANAHAWAN DISTRICT HOSPITAL,Government,LGU,General,Level 1,50,"9458211513
09177778965",anahawandistricthospital@gmail.com,1/1/2025,12/31/2025
,282,REGION 8,Southern Leyte,Maasin City,"Barangay Dongon, Maasin City, Southern Leyte",SALVACION OPPUS YNIGUEZ MEMORIAL PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,100,9480114659,records.soymph@gmail.com,1/1/2025,12/31/2025
,283,REGION 8,Southern Leyte,Sogod,"Osmena St., Zone 1, Sogod, Southern Leyte",SOGOD DISTRICT HOSPITAL,Government,LGU,General,Level 1,25,9175064570,sogoddistricthospital@gmail.com,1/1/2025,12/31/2025
,284,REGION 9,Basilan,Isabela City,Binuangan,BASILAN MEDICAL CENTER,Government,DOH RETAINED,General,Level 2,129,basgen7300@gmail.com,1/1/2025,12/31/2025,09-0064-25-H2-1
,285,REGION 9,Sulu,Jolo,"Scott Road, Asturias 1",SULU PROVINCIAL HOSPITAL,Government,LGU,General,Level 2,100,iphosulu@gmail.com,5/26/2025,12/31/2025,09-0070-25-H2-1
,286,REGION 9,Sulu,Jolo,Upper San Raymundo,SULU SANITARIUM AND GENERAL HOSPITAL,Government,DOH RETAINED,General,Level 1,75,sulusanitarium@ymail.com,1/1/2025,12/31/2025,09-0045-25-H1-1
,287,REGION 9,Zamboanga del Norte,Dapitan City,Lawaan,DR. JOSE RIZAL MEMORIAL HOSPITAL,Government,DOH RETAINED,General,Level 2,200,dohdjrmh@gmail.com,1/1/2025,12/31/2025,09-0029-25-H2-2
,288,REGION 9,Zamboanga del Norte,Dipolog City,"Circumferential Road, Biasong",CORAZON C. AQUINO HOSPITAL,Government,LGU,General,Level 1,50,ccah.dipologcity@gmail.com,1/1/2025,1/31/2025,09-0031-25-H1-1
,289,REGION 9,Zamboanga del Norte,Dipolog City,Sicayab,ZAMBOANGA DEL NORTE MEDICAL CENTER,Government,LGU,General,Level 1,146,zanortemed@gmail.com,1/1/2025,12/31/2025,09-0025-25-H2-2
,290,REGION 9,Zamboanga del Norte,Siocon,"Campaner St., Manaol",CONSTANTINO SORIANO SR. HOSPITAL,Government,LGU,General,Level 1,18,siocondistricthospital@yahoo.com,1/1/2025,12/31/2025,09-0056-25-I-1
,291,REGION 9,Zamboanga del Sur,Margosatubig,Poblacion,MARGOSATUBIG REGIONAL HOSPITAL,Government,DOH RETAINED,General,Level 2,100,mrh_gov@yahoo.com.ph,1/1/2025,12/31/2025,09-0046-25-H2-1
,292,REGION 9,Zamboanga del Sur,Pagadian City,Dao,ZAMBOANGA DEL SUR MEDICAL CENTER,Government,LGU,General,Level 2,100,zdsmc@yahoo.com,1/1/2025,12/31/2025,09-0055-25-H2-1
,293,REGION 9,Zamboanga del Sur,Zamboanga City,Labuan,LABUAN GENERAL HOSPITAL,Government,DOH RETAINED,General,Level 1,51,lphchd@yahoo.com,1/1/2025,12/31/2025,09-0048-25-H1-1
,294,REGION 9,Zamboanga del Sur,Zamboanga City,"Dr. Evangelista St., Zamboanga City",ZAMBOANGA CITY MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,400,mc-chief@zcmc.doh.gov.ph,1/1/2025,12/31/2025,DOH010425
,295,REGION 9,Zamboanga del Sur,Zamboanga City,Pasobolong,ZAMBOANGA REGIONAL MEDICAL CENTER,Government,DOH RETAINED,General,Level 2,100,mcs.hrmo@gmail.com,1/1/2025,12/31/2025,09-0065-25-H2-1
,296,REGION 9,Zamboanga Sibugay,Ipil,"P/Gumamela, Tenan",DR. GEORGE TOCAO HOFER MEDICAL CENTER,Government,LGU,General,Level 1,100,georgethofermedicalcenter@gmail.com,1/1/2025,12/31/2025,09-0015-25-H1-1
,297,REGION 10,Bukidnon,Kibawe,"C.M. Recto St., Palma",BUKIDNON PROVINCIAL HOSPITAL - KIBAWE,Government,LGU,General,Level 1,100,(088)314-1066,bphkibawe@yahoo.com,1/1/2025,12/31/2025
,298,REGION 10,Bukidnon,Malaybalay City,Casisang,BUKIDNON PROVINCIAL MEDICAL CENTER - MALAYBALAY CITY,Government,LGU,General,Level 2,150,(088)813-7380 / 09176269737,bpmc.malaybalay@yahoo.com,1/1/2025,12/31/2025
,299,REGION 10,Bukidnon,Manolo Fortich,San Miguel,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH,Government,LGU,General,Level 1,68,(088)813-3055,bphmanolo@gmail.com,1/1/2025,12/31/2025
,300,REGION 10,Bukidnon,Maramag,,BUKIDNON PROVINCIAL HOSPITAL - MARAMAG,Government,LGU,General,Level 2,130,(088)828-1962 / 09173055020,bph_maramag@yahoo.com,1/1/2025,12/31/2025
,301,REGION 10,Camiguin,Mambajao,"Lakas, Poblacion",CAMIGUIN GENERAL HOSPITAL,Government,DOH RETAINED,General,Level 1,105,(088)387-0535 / telefax (088)387-1216 / 09261495580,camgenhospital@yahoo.com / camgenhospital@gmail.com,1/1/2025,12/31/2025
,302,REGION 10,Lanao del Norte,Baroy,Lower Sagadan,LANAO DEL NORTE PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,100,(063)224-2948 / 09054948714,lnph2018@gmail.com,1/1/2025,12/31/2025
,303,REGION 10,Lanao del Norte,Iligan City,"Quezon Avenue Extension, Palao",GREGORIO T. LLUCH MEMORIAL HOSPITAL,Government,LGU,General,Level 1,119,telefax (063)221-6775,gtlmh@ymail.com / lgu.gtlmh@gmail.com,1/1/2025,12/31/2025
,304,REGION 10,Lanao del Norte,Kapatagan,Maranding Annex,KAPATAGAN PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,100,(063)227-9522,kapataganprovincialhospital@gmail.com,1/1/2025,12/31/2025
,305,REGION 10,Lanao del Norte,Kolambugan,Austin Heights,KOLAMBUGAN PROVINCIAL HOSPITAL,Government,LGU,General,Level 1,60,(063)302-3982 / 09062786042,kolph@outlook.com / kolambuganprovincial@gmail.com,1/1/2025,12/31/2025
,306,REGION 10,Lanao del Sur,Marawi City,"Barangay Datu Saber, 9700 Marawi City, Lanao Del Sur",AMAI PAKPAK MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,438,(063) 876 0001,info@apmc.doh.gov.ph,1/1/2025,12/31/2025
,307,REGION 10,Misamis Occidental,Calamba,Purok 4 Bunawan,CALAMBA DISTRICT HOSPITAL,Government,LGU,General,Level 1,50,(088)564-0397 / 09308180578,calambadistrict@gmail.com,1/1/2025,12/31/2025
,308,REGION 10,Misamis Occidental,Oroquieta City,"Independence St., Lower Langcangan",MISAMIS OCCIDENTAL PROVINCIAL HOSPITAL,Government,LGU,General,Level 2,159,(088)531-2242 / 531-2243 / 09367360217,office.moph@gmail.com / moprovincialhospital@gmail.com,1/1/2025,12/31/2025
,309,REGION 10,Misamis Occidental,Ozamiz City,Maningcol,MAYOR HILARION A. RAMIRO SR. MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,550,(088)521-0440 /(088)521-0022,mharsmc@mharsmc.doh.gov.ph,1/1/2025,12/31/2025
,310,REGION 10,Misamis Occidental,Tangub City,"Fertig St., Mantic",DOÑA MARIA D. TAN MEMORIAL HOSPITAL,Government,LGU,General,Level 1,50,(088)545-0172 / 09067509507 / 09177718971,dmdtmh_mantic@yahoo.com,1/1/2025,12/31/2025
,311,REGION 10,Misamis Oriental,Balingasag,"Rizal - Delmar St., Barangay 3",MISAMIS ORIENTAL PROVINCIAL HOSPITAL - BALINGASAG,Government,LGU,General,Level 1,50,(088)3335413,misorbalingasag@gmail.com,1/1/2025,12/31/2025
,312,REGION 10,Misamis Oriental,Cagayan de Oro City,"Camp Evangelista, Patag","CAMP EVANGELISTA STATION HOSPITAL, 4ID, PA",Government,LGU,General,Level 1,50,0888800608 / 09171409048,cesh_phic4id@yahoo.com / cesh_4id@yahoo.com,1/1/2025,12/31/2025
,313,REGION 10,Misamis Oriental,Cagayan de Oro City,"J.V. Seriña St., Carmen",J.R. BORJA GENERAL HOSPITAL,Government,LGU,General,Level 2,250,9177937344,jrborjagenhosp@gmail.com,1/1/2025,12/31/2025
,314,REGION 10,Misamis Oriental,Cagayan de Oro City,"Capitol Compound, Cagayan De Oro City",NORTHERN MINDANAO MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,600,(08822) 72-63-62,nmmc_cdo@yahoo.com,1/1/2025,12/31/2025
,315,REGION 10,Misamis Oriental,Gingoog City,Doña Graciana St.,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,Government,LGU,General,Level 1,50,9177775962,misorph_gingoog@yahoo.com / misorgingoog@gmail.com,1/1/2025,12/31/2025
,316,REGION 10,Misamis Oriental,Initao,"Codilla St., Poblacion",MISAMIS ORIENTAL PROVINCIAL HOSPITAL - INITAO,Government,LGU,General,Level 1,25,0888827248 / 09173289308,misorphinitao@yahoo.com / misorphinitao@gmail.com,1/1/2025,12/31/2025
,317,REGION 10,Misamis Oriental,Manticao,Poblacion,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - MANTICAO,Government,LGU,General,Level 1,25,9350267612,manticaomisorph@gmail.com / moph.manticao@misamisoriental.gov.ph,1/1/2025,12/31/2025
,318,REGION 10,Misamis Oriental,Tagoloan,"Zone 12, Poblacion",ST. PAUL HOSPITAL,Government,LGU,General,Level 1,28,(088)890-4522 / 09922573302 / 09384753191,st.paultagoloan@gmail.com,1/1/2025,12/31/2025
,319,REGION 10,Misamis Oriental,Talisayan,"National Highway, Mintabon",MISAMIS ORIENTAL PROVINCIAL HOSPITAL - TALISAYAN,Government,LGU,General,Level 1,25,9171394887,misortalisayan@gmail.com,1/1/2025,12/31/2025
,320,REGION 11,Davao de Oro,Laak,"Purok 4, Pob. Laak, Davao De Oro",DAVAO DE ORO PROVINCIAL HOSPITAL - LAAK,Government,LGU,General,Level 1,40,9688674054,ddoph_laakhospital@yahoo.com,1/1/2025,12/31/2025
,321,REGION 11,Davao de Oro,Maragusan,"Talisay St., Pob. Maragusan, Davao de Oro",DAVAO DE ORO PROVINCIAL HOSPITAL- MARAGUSAN,Government,LGU,General,Level 1,40,,mmh_comval@yahoo.com; ddophmaragusan@gmail.com,1/1/2025,12/31/2025
,322,REGION 11,Davao de Oro,Montevista,"Km. 104 Bankerohan Sur, Montevista",DAVAO DE ORO PROVINCIAL HOSPITAL - MONTEVISTA,Government,LGU,General,Level 1,160,,cvphcvph@yahoo.com,1/1/2025,12/31/2025
,323,REGION 11,Davao de Oro,Pantukan,"Townsite Pantukan, Davao De Oro",DAVAO DE ORO PROVINCIAL HOSPITAL - PANTUKAN,Government,LGU,General,Level 1,100,084-372-0335,pdhcvphpantukan@yahoo.com.ph,1/1/2025,12/31/2025
,324,REGION 11,Davao del Norte,Carmen,"Brgy. Ising, Carmen, Dvo Norte",DAVAO DEL NORTE HOSPITAL-CARMEN ZONE,Government,LGU,General,Level 1,50,084-628-6592,ddnhospcz@yahoo.com,1/1/2025,12/31/2025
,325,REGION 11,Davao del Norte,Kapalong,"Quezon St. Maniki Kapalong, Dvo. Norte",DAVAO DEL NORTE HOSPITAL-KAPALONG ZONE,Government,LGU,General,Level 1,75,084-371-0468,kapalongdistricthospital@yahoo.com,1/1/2025,12/31/2025
,326,REGION 11,Davao del Norte,Samal City,"Datu Taganiog St., Peñaplata, Igacos",DAVAO DEL NORTE HOSPITAL-IGACOS ZONE,Government,LGU,General,Level 1,50,084-286-0120,ddnhigacoszone@gmail.com,1/1/2025,12/31/2025
,327,REGION 11,Davao del Norte,Tagum City,"Apokon, Tagum City",DAVAO REGIONAL MED. CENTER,Government,DOH RETAINED,General,Level 3,600,084-400-3347/4003050,cao@drmc.doh.gov.p,1/1/2025,12/31/2025
,328,REGION 11,Davao del Sur,Davao City,"J.P. Laurel Ave., Bajada",SOUTHERN PHILIPPINES MEDICAL CENTER,Government,DOH RETAINED,General,Level 3,1200,082-2272731,coh.spmc@gmail.com,1/1/2025,12/31/2025
,329,REGION 11,Davao del Sur,Digos City,"Lapu-Lapu St., Digos City",DAVAO DEL SUR PROVINCIAL HOSPITAL,Government,LGU,General,Level 2,100,,,1/1/2025,12/31/2025
,330,REGION 11,Davao Occidental,Malita,"Lacaron, Malita, Davao Occidental",DAVAO OCCIDENTAL GENERAL HOSPITAL,Government,DOH RETAINED,General,Level 1,28,,,1/1/2025,12/31/2025
,331,REGION 11,Davao Occidental,Malita,"National Highway, Malita, Dvo Occidental",MALITA WOMEN'S AND CHILDREN WELLNESS CENTER (FORMERLY: MALITA DITSTRICT HOSPITAL),Government,LGU,General,Level 1,18,,mdhdavaooccidental.phic.section@gmail.com,1/1/2025,12/31/2025
