"hospital_name","source","region","province","municipality","ownership","ownership_class","class","service_capability","beds","BLDG OR HOUSE NO., STREET, BRGY (as applicable)","CONTACT NOS.","E-MAIL ADDRESS","VALIDITY FROM","VALIDITY UNTIL"
JOHN MARK D. VILLANUEVA MEDICAL-CLINIC AND HOSPITAL,Private,REGION 12,Sultan Kudarat,Esperanza,Private,"",General,Level 1,"36","Purok Bannawag, Villamor","9171439797","2014.jmvch@gmail.com","1/1/2025","12/31/2025"
OUR LADY OF HOPE MEDICAL CLINIC AND HOSPITAL,Private,REGION 12,Sultan Kudarat,Esperanza,Private,"",General,Level 1,"39","Notre Dame Avenue, Saliao","9559759152",olhmch1989@yahoo.com,"1/1/2025","12/31/2025"
ST. JUDE DOCTORS HOSPITAL,Private,REGION 12,Sultan Kudarat,Esperanza,Private,"",General,Level 1,"30",National Highway Brgy. Saliao,"9756822094",stjudehrd2020@gmail.com,"1/1/2025","12/31/2025"
GALINATO FAMILY CLINIC AND HOSPITAL,Private,REGION 12,Sultan Kudarat,Isulan,Private,"",General,Level 1,"48","Guyabano St., Kalawag II","9386870361",galinatofamilyclinicandhospital@yahoo.com,"1/1/2025","12/31/2025"
HOLY NAZARENE CLINIC AND HOSPITAL,Private,REGION 12,Sultan Kudarat,Isulan,Private,"",General,Level 1,"44",National Highway Kalawag II,"9568012201",holynazareneclincandhospital@gmail.com,"1/1/2025","12/31/2025"
MATIAS CLINIC AND HOSPITAL,Private,REGION 12,Sultan Kudarat,Isulan,Private,"",General,Level 1,"27",National Highway Kalawag 2,"9276046943",matiaslab@2021@gmail.com,"1/1/2025","12/31/2025"
EVANGELISTA MEDICAL CLINIC AND HOSPITAL,Private,REGION 12,Sultan Kudarat,Lambayong,Private,"",General,Level 1,"34","National Highway, Poblacion","9176752214",emch1984@yahoo.com,"1/1/2025","12/31/2025"
IMMACULATE CONCEPTION MEDICAL CLINIC,Private,REGION 12,Sultan Kudarat,President Quirino,Private,"",General,Level 1,"24","Purok Cadena Amor, Poblacion","9066347076",immaculateconceptionmc17@yahoo.com,"1/1/2025","12/31/2025"
LU CLINIC AND HOSPITAL,Private,REGION 12,Sultan Kudarat,Tacurong City,Private,"",General,Level 1,"20",National Highway,"9338131697",luclinicandhospital28@yahoo.com,"1/1/2025","12/31/2025"
QUIJANO CLINIC AND HOSPITAL INCORPORATED,Private,REGION 12,Sultan Kudarat,Tacurong City,Private,"",General,Level 1,"36",National Highway Brgy. Buenaflor,"9363396156",quijano_1968@yahoo.com,"1/1/2025","12/31/2025"
SANDIG MEDICAL CLINIC AND HOSPITAL,Private,REGION 12,Sultan Kudarat,Tacurong City,Private,"",General,Level 1,"50","Ledesma Street, Poblacion","9955805338",sandighospital1992@yahoo.com,"1/1/2025","12/31/2025"
ST. LOUIS HOSPITAL,Private,REGION 12,Sultan Kudarat,Tacurong City,Private,"",General,Level 2,"124","Purok Yellowbell, New Isabela, Tacurong City",(064) 477 0171,stlouishospitaltacurong@gmail.com,"1/1/2025","12/31/2025"
"SULTAN KUDARAT DOCTORS HOSPITAL, INC.",Private,REGION 12,Sultan Kudarat,Tacurong City,Private,"",General,Level 1,"17","25 National Highway Poblacion","9177641461",skdoctorshos@yahoo.com,"1/1/2025","12/31/2025"
"SULTAN KUDARAT MEDICAL SPECIALISTS CENTER, INC.",Private,REGION 12,Sultan Kudarat,Tacurong City,Private,"",General,Level 1,"25",Alunan Highway,"9295073303",garingo_skmsi@yahoo.com,"1/1/2025","12/31/2025"
TACURONG DOCTORS' HOSPITAL INCORPORATED,Private,REGION 12,Sultan Kudarat,Tacurong City,Private,"",General,Level 1,"30","Lapu-Lapu Street, Brgy. Poblacion","0917-164-0681",tdhofficial2019@gmail.com,"1/1/2025","12/31/2025"
TOMBOC-SALAYOG HOSPITAL,Private,REGION 12,Sultan Kudarat,Tacurong City,Private,"",General,Level 2,"50","Purok Waya-Waya, Brgy. San Emamnuel","064-200-6057",hrtombocsalayog@gmail.com,"1/1/2025","12/31/2025"
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-BUTUAN, INC.",Private,REGION 13,Agusan del Norte,Butuan City,Private,"",General,Level 2,"56","Lot 371-1-2, South Montilla Road, Barrio Villa Kananga, Butuan City","9635733509",acemcbutuan@gmail.com,"1/1/2025","12/31/2025"
"BUTUAN DOCTORS' HOSPITAL AND COLLEGE, INCORPORATED",Private,REGION 13,Agusan del Norte,Butuan City,Private,"",General,Level 2,"150","J.C. Aquino Avenue, Butuan City","",butuandoctorshospital@yahoo.com.ph,"1/1/2025","12/31/2025"
"BUTUAN PUERICULTURE CENTER NO. 394, INC.",Private,REGION 13,Agusan del Norte,Butuan City,Private,"",General,Level 2,"50","702 San Jose St., Butuan City","342-70-00 connect to all department",butuan_maternity@yahoo.com,"1/1/2025","12/31/2025"
"HOLY CHILD COLLEGES OF BUTUAN HOSPITAL, CO.",Private,REGION 13,Agusan del Norte,Butuan City,Private,"",General,Level 1,"24","2Nd St., Guingona Subd., Butuan City","225-52-21 / 341-2222",hccbhospital082008@gmail.com,"1/3/2025","12/31/2025"
MANUEL J. SANTOS HOSPITAL,Private,REGION 13,Agusan del Norte,Butuan City,Private,"",General,Level 2,"134",Montilla Blvd. Butuan City,"342-50-17",csjurane@mjsantos.com.ph,"1/1/2025","12/31/2025"
BAYUGAN CITY DOCTORS HOSPITAL,Private,REGION 13,Agusan del Sur,Bayugan City,Private,"",General,Level 1,"25","Maygatasan, National Hiway, Bayugan, Agusan Del Sur",(085) 2313352,bcdh.official@gmail.com,"1/1/2025","12/31/2025"
SAN FRANCISCO DOCTORS HOSP. INC.,Private,REGION 13,Agusan del Sur,San Francisco,Private,"",General,Level 2,"50","Hubang, San Francisco, Agusan Del Sur","231-20-27",sanfranciscodoctorshospital@gmail.com,"1/1/2025","12/31/2025"
ST. PAUL SURIGAO UNIVERSITY HOSP.,Private,REGION 13,Surigao del Norte,Surigao City,Private,"",General,Level 2,"60","Km,4 Nat. Highway, Brgy. San Juan, Surigao City","826-20-04/ 09192169601",spsuh_a@yahoo.com,"1/1/2025","12/31/2025"
SURIGAO DOCTORS' HOSPITAL,Private,REGION 13,Surigao del Norte,Surigao City,Private,"",General,Level 1,"50","Brgy. Rizal, Surigao City","868275177",surigaodoctorshospital2015@gmail.com,"1/1/2025","12/31/2025"
SURIGAO MEDICAL CENTER INC.,Private,REGION 13,Surigao del Norte,Surigao City,Private,"",General,Level 1,"70","Km. 1, Surigao City","826-10-57/232-6450",surigaomedicalcenter@yahoo.com,"1/1/2025","12/31/2025"
F.P. URBIZTONDO MEDICAL HOSP. INC,Private,REGION 13,Surigao del Sur,Barobo,Private,"",General,Level 1,"15","National Highway, Poblacion, Barobo, Surigao del Sur","99399249238",fpumhi@gmail.com,"1/1/2025","12/31/2025"
ANDRES SORIANO MEMORIAL HOSPITAL,Private,REGION 13,Surigao del Sur,Bislig City,Private,"",General,Level 2,"75","Purok 1, Brgy. Cumawas, Bislig City","853-31-24/ 853-31-25",asmhc97@yahoo.com,"1/1/2025","12/31/2025"
ACEBEDO GENERAL HOSPITAL,Private,NCR,Metro Manila,Caloocan City,Private,"",General,Level 1,"16","849 Gen. Luis St., Bagbaguin, Caloocan City","8935363",acebedogenhospital@yahoo.com,"1/1/2025","12/31/2025"
"BERMUDEZ POLYMEDIC HOSPITAL, INC.",Private,NCR,Metro Manila,Caloocan City,Private,"",General,Level 1,"20","391 Malaria Road, Brgy. 185, Zone 16, District 1, Tala, Caloocan City","8961-3229",bermudezhospital@yahoo.com,"1/1/2025","12/31/2025"
CAMARIN DOCTORS HOSPITAL,Private,NCR,Metro Manila,Caloocan City,Private,"",General,Level 2,"105","No. 1 Camarin Road, Brgy. 172, Camarin, Caloocan City","8260-5952/0927-0018111",info@camarindoctorshospital.ph,"1/1/2025","12/31/2025"
"MANILA CENTRAL UNIVERSITY-DR. FILEMON D. TANCHOCO, SR. MEDICAL FOUNDATION, INC.",Private,NCR,Metro Manila,Caloocan City,Private,"",General,Level 3,"81","Edsa, Caloocan City",(02) 83672031,mdo@mcufdtmf.org; mcu_medicaldirector@yahoo.com,"1/1/2025","12/31/2025"
NODADO GENERAL HOSPITAL,Private,NCR,Metro Manila,Caloocan City,Private,"",General,Level 1,"40","Capt. Samano St., Area A, Camarin, Brgy. 175, Caloocan City","71173026/82414446",hrd.nodadogen@gmail.com,"1/1/2025","12/31/2025"
"NORTH CALOOCAN DOCTORS HOSPITAL, INC.",Private,NCR,Metro Manila,Caloocan City,Private,"",General,Level 1,"29","L31, B10, Quirino Highway, Bankers Village 2, Caloocan City","8961-5213",ncdhi@yahoo.com,"1/1/2025","12/31/2025"
"OUR LADY OF GRACE HOSPITAL, INC.",Private,NCR,Metro Manila,Caloocan City,Private,"",General,Level 1,"28","8th Avenue cor. F. Roxas St., West Grace Park, Caloocan City","83611124 to 38/09178403811",ourladyofgrace.hospital@yahoo.com,"1/1/2025","12/31/2025"
A. ZARATE GENERAL HOSPITAL,Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 1,"17","Atlas Compound, Naga Road, Pulang Lupa Uno, Las Piñas City","88746903",azarategeneralhospitaldx91@gmail.com,"1/1/2025","12/31/2025"
ALABANG MEDICAL CLINIC-LAS PIÑAS BRANCH,Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 1,"18","Alabang-Zapote Rd. cor. Pelayo Village, Talon, Las Piñas City","88742506",amc.talon@yahoo.com,"1/1/2025","12/31/2025"
"CHRIST THE KING MEDICAL CENTER UNIHEALTH LAS PIÑAS, INC.",Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 2,"30","130 Real St., Pamplona Uno, District 4, Las Piñas City","88731119",christthekingmedicalcenter@gmail.com,"1/1/2025","12/31/2025"
E. ZARATE HOSPITAL,Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 1,"15","16 J. Aguilar Ave., Talon I, Las Piñas City","88711440/09199914938",e.zaratehospital@yahoo.com,"1/1/2025","12/31/2025"
"LAS PIÑAS CITY MEDICAL CENTER, INC.",Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 2,"66","#1314 Marcos Alvarez Ave., Talon V, Las Piñas City","8800-5678/09175934944",lpcmc01@yahoo.com,"1/1/2025","12/31/2025"
"LAS PIÑAS DOCTORS HOSPITAL, INC.",Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 3,"130","#8009 Ji Aguilar Ave., Pulanglupa 2, Las Piñas City","88255236",lpdh.laspinasdoctorshospital@gmail.com,"1/1/2025","12/31/2025"
PAMPLONA HOSPITAL AND MEDICAL CENTER INC.,Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 2,"48","46 Zapote-Alabang Road, Pamplona, Las Piñas City","8255-4802 / 8873 0054",phmc2015inc@gmail.com,"1/1/2025","12/31/2025"
POPE JOHN PAUL II HOSPITAL AND MEDICAL CENTER INC.,Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 2,"100","545-E Alabang-Zapote Road, Brgy. Talon III, Las Piñas City","8826-0285",pjp2hmc.executivesecretary@gmail.com,"1/1/2025","12/31/2025"
"UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER, INC.",Private,NCR,Metro Manila,Las Piñas City,Private,"",General,Level 3,"285","Alabang-Zapote Road, Las Piñas City","8880-7700 | 8874-8515",evphd_uphdmc@yahoo.com,"1/1/2025","12/31/2025"
MAKATI LIFE MEDICAL CENTER,Private,NCR,Metro Manila,Makati City,Private,"",General,Level 2,"106","Malugay Street, Barangay Bel-Air, Makati City","9190999436",makatilife.compliance@gmail.com,"3/21/2025","12/31/2025"
MAKATI MEDICAL CENTER,Private,NCR,Metro Manila,Makati City,Private,"",General,Level 3,"600","#2 Amorsolo St., Legaspi Village, Makati City","
+632 8888 8999",mmc@makatimed.net.ph,"1/1/2025","12/31/2025"
"ST. CLARE'S MEDICAL CENTER, INC.",Private,NCR,Metro Manila,Makati City,Private,"",General,Level 2,"27","#1838 Dian St., Palanan, Makati City","831-6512/0917-6257232",SCMC1972@yahoo.com,"1/1/2025","12/31/2025"
MALABON HOSPITAL AND MEDICAL CENTER INC.,Private,NCR,Metro Manila,Malabon City,Private,"",General,Level 2,"42","264 Gov. Pascual St., Brgy. Catmon, Malabon City","6.39952E+11",adminofficer@mhmc.com.ph,"1/1/2025","12/31/2025"
ALLIED CARE EXPERTS (ACE) MEDICAL CENTER – MANDALUYONG INC.,Private,NCR,Metro Manila,Mandaluyong City,Private,"",General,Level 2,"55","# 145 Haig Street, Daang Bakal, Mandaluyong City","8711-4268",acemcmandaluyong@gmail.com,"1/1/2025","12/31/2025"
VRP MEDICAL CENTER,Private,NCR,Metro Manila,Mandaluyong City,Private,"",General,Level 3,"157","#163 Edsa, Mandaluyong City",(02) 8464 9999,info@vrp.com.ph,"1/1/2025","12/31/2025"
CHINESE GENERAL HOSPITAL & MEDICAL CENTER,Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"592","#286 Blumentritt St., Sta. Cruz, Manila",(02) 8711 4141,info@cghmc.com.ph,"1/1/2025","12/31/2025"
CURE AND CARE MATERNITY HOSPITAL OPC,Private,NCR,Metro Manila,Manila,Private,"",Specialty,Level 1,"18","1068 Hermosa St., Manuguit, Tondo, Manila","8252-3335",cncmh20@gmail.com,"1/1/2025","12/31/2025"
DE OCAMPO MEMORIAL MEDICAL CENTER,Private,NCR,Metro Manila,Manila,Private,"",General,Level 1,"20","2921 Nagtahan St., Sta. Mesa, Manila","02-87151891",deocampomemorialmedicalcenter23@yahoo.com,"1/1/2025","12/31/2025"
HOSPITAL OF THE INFANT JESUS MEDICAL CENTER,Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"140","#1556 Laon Laan Road, Sampaloc, Manila",(+632) 87312771-76,hij_childcare@yahoo.com,"1/1/2025","12/31/2025"
MANILA DOCTORS HOSPITAL,Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"300","#667 United Nations Ave., Ermita, Manila","028-558-0888",info@maniladoctors.com.ph,"1/1/2025","12/31/2025"
"MARY CHILES GENERAL HOSPITAL, INC.",Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"100","667 Gastambide St., Sampaloc, Manila",(632) 735-5341,marychilesgeneralhospital@gmail.com,"1/1/2025","12/31/2025"
"MARY JOHNSTON HOSPITAL, INC.",Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"120","1221 Juan Nolasco St., Tondo, Manila",(02) 5318 – 6600 loc. 225,maryjohnstonhospital@yahoo.com.ph,"1/1/2025","12/31/2025"
"MEDICAL CENTER MANILA, INC.",Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"200","850 United Nations Avenue, Ermita, Manila","02-85238131-65",customerservice@manilamed.com.ph,"1/1/2025","12/31/2025"
METROPOLITAN MEDICAL CENTER,Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"295","#1357 G. Masangkay St., Sta. Cruz, Manila","8-254-1111",customercare@metromedicalcenter.ph,"1/1/2025","12/31/2025"
OUR LADY OF LOURDES HOSPITAL,Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"230","#46 P. Sanchez St., Sta. Mesa, Manila",(02) 8716 3901,info@ollh.ph,"1/1/2025","12/31/2025"
"PERPETUAL SUCCOR HOSPITAL & MATERNITY, INC.",Private,NCR,Metro Manila,Manila,Private,"",General,Level 1,"65","836 F. Cayco St., Sampaloc, Manila","8731-1631 to 33",perpetual.succor@yahoo.com,"1/1/2025","12/31/2025"
SEAMEN’S HOSPITAL,Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"100","Cabildo St. Cor. San Jose St., Intramuros, Manila",(02) 8527 8116,"","1/1/2025","12/31/2025"
"TRINITY WOMAN & CHILD CENTER ""THE BIRTHPLACE""",Private,NCR,Metro Manila,Manila,Private,"",General,Level 1,"18","2732 New Panaderos St., Sta. Ana, Manila","85641512",trinitydocuments@yahoo.com,"1/1/2025","12/31/2025"
UNIVERSITY OF SANTO TOMAS HOSPITAL,Private,NCR,Metro Manila,Manila,Private,"",General,Level 3,"700","España Boulevard, Manila","",usthmedicaldirectorofficial@gmail.com,"1/1/2025","12/31/2025"
GARCIA GENERAL HOSPITAL,Private,NCR,Metro Manila,Marikina City,Private,"",General,Level 1,"24","49 Bayan-bayanan Ave., Marikina Heights, Concepcion, Marikina City","89484014",garciagenhosp@gmail.com,"1/1/2025","12/31/2025"
"MARIKINA ST. VINCENT GENERAL HOSPITAL, INC.",Private,NCR,Metro Manila,Marikina City,Private,"",General,Level 2,"90","#35 Bayan-Bayanan Avenue, Concepcion Uno, Marikina City","89480314",msvghinc.licensing@gmail.com,"1/1/2025","12/31/2025"
MARIKINA VALLEY MEDICAL CENTER INC.,Private,NCR,Metro Manila,Marikina City,Private,"",General,Level 2,"151","Sumulong Highway cor. Aguinaldo St., Brgy. Santo Niño, Marikina City","86822222 loc 700",info@mvmc.com.ph,"1/1/2025","12/31/2025"
"SDS MEDICAL CENTER, INC.",Private,NCR,Metro Manila,Marikina City,Private,"",General,Level 1,"22","Katipunan Rd. cor. Pio del Pilar St., Concepcion 2, Marikina City","70043739/09569547049",sdsmedicalcenter@gmail.com,"1/1/2025","12/31/2025"
"ST. ANTHONY MEDICAL CENTER OF MARIKINA, INC.",Private,NCR,Metro Manila,Marikina City,Private,"",General,Level 2,"34","32 Sta. Ana Ext. Cor Betelnut St., San Roque, Marikina City","8682-2000/09084122347",samcm@saintanthony.com.ph,"1/1/2025","12/31/2025"
ST. VICTORIA HOSPITAL,Private,NCR,Metro Manila,Marikina City,Private,"",General,Level 1,"30","444 J.P. Rizal St., Brgy. Sto. Nino, District 1, Marikina City","8942-2022 loc 114/09673827660",ubaldelevi@yahoo.com,"1/1/2025","12/31/2025"
"VILLON-TANSINSIN HOSPITAL, INC.",Private,NCR,Metro Manila,Marikina City,Private,"",Specialty,Level 1,"20","3 Toyota Ave. cor. Guerilla St., Sto. Nino, Marikina City","8942-66-69/09777057978",vtmaternityhospital1800@gmail.com,"1/1/2025","12/31/2025"
ALABANG MEDICAL CENTER,Private,NCR,Metro Manila,Muntinlupa City,Private,"",General,Level 1,"18","Alabang-Zapote Road, Muntinlupa City","8850-2628/8807-8199/09167434076",alabangmedicalcenter@gmail.com,"1/1/2025","12/31/2025"
ALABANG MEDICAL CLINIC,Private,NCR,Metro Manila,Muntinlupa City,Private,"",General,Level 2,"30","#90 ML Quezon Wawa St., Alabang, Muntinlupa","88420680 loc 125 / 09189164756/ 88421723 loc 240",fmontillano@yahoo.com,"1/1/2025","12/31/2025"
ALABANG MEDICAL CLINIC-MUNTINLUPA BRANCH,Private,NCR,Metro Manila,Muntinlupa City,Private,"",General,Level 1,"25","1 National Road, Putatan, Muntinlupa City","8861-1187/09088633291",amc.munti@yahoo.com,"1/1/2025","12/31/2025"
ASIAN HOSPITAL INC.,Private,NCR,Metro Manila,Muntinlupa City,Private,"",General,Level 3,"296","#2205 Civic Drive, Filinvest Corporate City, Alabang, Muntinlupa City","8771-9000",info@asianhospital.com,"1/1/2025","12/31/2025"
"MEDICAL CENTER MUNTINLUPA, INC.",Private,NCR,Metro Manila,Muntinlupa City,Private,"",General,Level 2,"100","#38 National Road, Putatan, Muntinlupa City","8861-1687/09178375263",mcmincoffice@gmail.com,"1/1/2025","12/31/2025"
"FOUNDATION OF OUR LADY OF PEACE MISSION, INC. (OUR LADY OF PEACE HOSPITAL)",Private,NCR,Metro Manila,Parañaque,Private,"",General,Level 1,"90","Coastal Road, Brgy. San Dionisio, Parañaque City","288963840",olph2002@gmail.com,"1/1/2025","12/31/2025"
"MEDICAL CENTER PARAÑAQUE, INC.",Private,NCR,Metro Manila,Parañaque,Private,"",General,Level 2,"56","Dr. A. Santos Ave., Sucat, Parañaque City","5318-9999 loc 812",medicaloffice@medicalcenterparanaque.com,"1/1/2025","12/31/2025"
"OLIVAREZ GENERAL HOSPITAL, INC.",Private,NCR,Metro Manila,Parañaque,Private,"",General,Level 1,"50","Dr. A. Santos Avenue, Sucat Road,
Parañaque City","88267966/8826-0684/09694147596",hrdepartment@olivarezgenhospital.com,"1/1/2025","12/31/2025"
SOUTH SUPERHIGHWAY MEDICAL CENTER,Private,NCR,Metro Manila,Parañaque,Private,"",General,Level 2,"50","Km. 17, West Service Road, Brgy. Marcelo, Parañaque City","8823-2027/09189042480",ssmc.humanresources@gmail.com,"1/1/2025","12/31/2025"
THE PREMIER MEDICAL CENTER,Private,NCR,Metro Manila,Parañaque,Private,"",General,Level 2,"40","Amvel Business Park, Dr. A. Santos Ave., Brgy. San Dionisio, Sucat Road, Parañaque City","8865-2200 loc. 134",tpmc.oha@gmail.com,"1/1/2025","12/31/2025"
"UHBI - PARAÑAQUE DOCTORS HOSPITAL, INC.",Private,NCR,Metro Manila,Parañaque,Private,"",General,Level 2,"94","#175 Doña Soledad Ave., Betterliving Subd., Parañaque City","8776-0645/09175564833",pdhdirectorsoffice@gmail.com,"1/1/2025","12/31/2025"
"UNIHEALTH PARAÑAQUE HOSPITAL AND MEDICAL CENTER, INC.",Private,NCR,Metro Manila,Parañaque,Private,"",General,Level 2,"100","Dr. A. Santos Avenue, Brgy. San Isidro, Sucat Road, Parañaque City","02 88320641 local 7955 / 0917 586 2370",upar.executiveoffice@gmail.com,"1/1/2025","12/31/2025"
ADVENTIST MEDICAL CENTER MANILA,Private,NCR,Metro Manila,Pasay City,Private,"",General,Level 3,"150","#1975 Donada St., Pasay City","85259191",info@amcmanila.org,"1/1/2025","12/31/2025"
METRO PASAY HOSPITAL AND MEDICAL CENTER,Private,NCR,Metro Manila,Pasay City,Private,"",General,Level 2,"42","808 M. DELA CRUZ STREET EXT., BARANGAY 141, PASAY CITY, METRO MANILA, NCR, 1300","0962-044-8372",metropasayhr@gmail.com,"11/11/2025","12/31/2025"
"SAN JUAN DE DIOS EDUCATIONAL FOUNDATION, INC.",Private,NCR,Metro Manila,Pasay City,Private,"",General,Level 3,"230","#2772 Roxas Blvd., Pasay City","5512763",admission_office@sjdefi.edu.ph,"1/1/2025","12/31/2025"
ALFONSO SPECIALIST HOSPITAL,Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 1,"22","185 Dr. Sixto Antonio Ave., Rosario, Pasig City","8.57E+07",alfonsospecialist_hospital@yahoo.com,"1/1/2025","12/31/2025"
HOLYLIFE HOSPITAL,Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 1,"28","19 Pres. Quezon St., Lifehomes Subdivision, Rosario Pasig City","7919-0179",holylifehospital@yahoo.com.ph,"1/1/2025","12/31/2025"
"MARIKINA DOCTORS HOSPITAL AND MEDICAL CENTER, INC.",Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 1,"54","10 Evangelista Road, Brgy. Santolan, Pasig City","8535-3837",mdhmc.ao2@gmail.com / beth0939@yahoo.com,"1/1/2025","12/31/2025"
MISSION HOSPITAL,Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 1,"30","Km. 17, Ortigas Avenue Extension, Rosario, Pasig City","8656-2851",mission_hospital98@yahoo.com,"1/1/2025","12/31/2025"
CARDINAL SANTOS MEDICAL CENTER,Private,NCR,Metro Manila,San Juan City,Private,"",General,Level 3,"297","10 Wilson St., Greenhills, San Juan City","9619186073",qad@csmc.ph,"1/1/2025","12/31/2025"
PASIG DOCTORS MEDICAL CENTER INC.,Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 2,"66","254 Amang Rodriguez Avenue, Manggahan, Pasig City","8878-7362 / 09173218914",pasigdoctorsmedicalcenter.inc@gmail.com,"1/1/2025","12/31/2025"
"SALVE REGINA GENERAL HOSPITAL, INC.",Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 1,"50","Lot A2A Marcos Highway, Dela Paz, Pasig City",(02) 86453035,salvereginahosp@gmail.com,"1/1/2025","12/31/2025"
ST. CAMILLUS MEDICAL CENTER,Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 2,"24","116 E. Amang Rodriguez Avenue, Santolan, Pasig City","8645-3741/09162954954",scmc.qa2022@gmail.com,"1/1/2025","12/31/2025"
"ST. CHRISTIANA HOSPITAL, INC.",Private,NCR,Metro Manila,Pasig City,Private,"",Specialty,Level 1,"10","3338 Kaginhawahan Rd., Karangalan Village, Manggahan, Pasig City","286828751",stchristiana_hospital2010@yahoo.com,"1/1/2025","12/31/2025"
THE MEDICAL CITY,Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 3,"522","The Medical City, Don Eugenio Lopez Sr., Medical Complex, Ortigas Avenue, Brgy. Ugong, Pasig City","988-1000",mail@themedicalcity.com,"1/1/2025","12/31/2025"
"TRICITY MEDICAL CENTER, INC.",Private,NCR,Metro Manila,Pasig City,Private,"",General,Level 2,"100","269 C. Raymundo Avenue, Maybunga, Pasig City","8759752/09175152453",tricitymedicalcenter2016@gmail.com,"1/1/2025","12/31/2025"
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-PATEROS, INC.",Private,NCR,Metro Manila,Pateros,Private,"",General,Level 2,"58","884 P. Herrera St., Aguho, Pateros, Metro Manila","8706-9398",acemcpateros2@gmail.com,"1/1/2025","12/31/2025"
"ALLIED CARE EXPERTS (ACE) MEDICAL CENTER-QUEZON CITY, INC.",Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 2,"100","No. 20 Seminary Road, Bahay Toro, Project 8, Quezon City","8283-4003/0933-8650195",acemcquezoncity2@gmail.com,"1/1/2025","12/31/2025"
BERNARDINO GENERAL HOSPITAL I,Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 2,"80","#680 Quirino Highway, San Bartolome, Novaliches, Quezon City","8937-9183/09088807202",bernardino.hosp@gmail.com,"1/1/2025","12/31/2025"
BERNARDINO GENERAL HOSPITAL II,Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 1,"35","B1 L2 North Olympus Subd., Zabarte Rd., Brgy. Kaligayahan, Novaliches, Quezon City","89610328",admbgh2@gmail.com,"1/1/2025","12/31/2025"
"CAPITOL MEDICAL CENTER, INC.",Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 3,"200","Quezon Ave. Cor. Sct. Magbanua,","8372-3825",info@capitolmed.edu.ph,"1/1/2025","12/31/2025"
COMMONWEALTH HOSPITAL AND MEDICAL CENTER,Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 2,"148","Lot 3 and 4, Block 3 Neopolitan Business Park, Regalado Highway, Brgy. Greater Lagro, Novaliches, District 2, Quezon City","8930-0000 local 127 & 201",chmc.ph@gmail.com,"1/1/2025","12/31/2025"
DE LOS SANTOS MEDICAL CENTER,Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 3,"150","#201 E. Rodriguez Sr. Blvd., Quezon City","88935762",customercare@dlsmc.ph / medicalaffairs@dlsmc.ph / ilmorada@dlsmc.ph,"1/1/2025","12/31/2025"
"DILIMAN DOCTORS HOSPITAL, INC.",Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 2,"130","251 Commonwealth Avenue, Matandang Balara, Quezon City","8883-6900 loc. 2027/09954023055",dilimandoctorshospital2011@gmail.com,"1/1/2025","12/31/2025"
DR. FE DEL MUNDO MEDICAL CENTER,Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 2,"60","11 Banawe St., Brgy. Doña Josefa, Quezon City","87120845",engineering@fedelmundo.com.ph,"1/1/2025","12/31/2025"
DR. JESUS C. DELGADO MEMORIAL HOSPITAL,Private,NCR,Metro Manila,Quezon City,Private,"",General,Level 2,"65","#7 Kamuning Road, Quezon City","89244051",dtan@jdmh.ph,"1/1/2025","12/31/2025"
